Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,6.0,5,False,,
Runde2,9.5,4,False,Michel: positive,Michel: 10
Runde3,10.0,4,False,,
Runde4,12.25,0,False,,
Runde5,19.0,0,False,Michel: positive,Michel: 10.0
Runde6,18.5,11,False,,
Runde7,20.0,9,False,,
Runde8,22.75,1,False,Michel: positive,Michel: 10.0
Runde9,22.75,0,False,,
Runde10,23.0,2,False,,
Runde11,26.25,17,False,,
Runde12,31.5,3,False,Michel: positive,Michel: 10.0
Runde13,42.0,12,False,Michel: positive,Michel: 10.0
Runde14,48.5,1,False,,
Runde15,47.5,19,False,Michel: positive,Michel: 10.0
Runde16,45.75,10,False,Michel: positive,Michel: 10.0
Runde17,50.0,10,False,,
Runde18,55.25,3,False,,
Runde19,69.5,3,False,Michel: positive,Michel: 10.0
Runde20,65.75,15,False,Michel: positive,Michel: 10.0
Runde21,65.5,1,False,,
Runde22,63.0,13,False,,
Runde23,77.75,1,False,,
Runde24,81.5,6,False,,
Runde25,95.75,0,False,Michel: positive,Michel: 10.0
Runde26,102.5,6,False,,
Runde27,,,False,,
