Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,8.0,0,False,,
Runde2,11.0,0,False,,
Runde3,14.75,0,False,,
Runde4,21.5,0,False,,
Runde5,29.0,0,False,,
Runde6,41.0,0,False,,
Runde7,49.25,0,False,,
Runde8,58.25,0,False,,
Runde9,67.25,0,False,,
Runde10,71.75,0,False,,
Runde11,79.25,0,False,,
Runde12,88.25,0,False,,
Runde13,100.25,0,False,,
Runde14,123.5,0,False,,
Runde15,130.25,0,False,,
Runde16,143.75,0,False,,
Runde17,146.75,0,False,,
Runde18,160.25,0,False,,
Runde19,170.0,0,False,,
Runde20,184.25,0,False,,
Runde21,192.5,0,False,,
Runde22,198.5,0,False,,
Runde23,213.5,0,False,,
Runde24,226.25,0,False,,
Runde25,228.5,0,False,,
Runde26,245.75,0,False,,
Runde27,264.5,0,False,,
Runde28,280.25,0,False,,
Runde29,295.25,0,False,,
Runde30,314.75,0,False,,
Runde31,320.0,0,False,,
Runde32,334.25,0,False,,
Runde33,,,False,,
