Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,4.75,4,False,,
Runde2,7.0,0,False,,
Runde3,9.75,7,False,Amalea: positive,Amalea: 10
Runde4,9.75,0,False,,
Runde5,10.75,2,False,,
Runde6,11.25,4,False,,
Runde7,11.25,0,False,,
Runde8,9.75,6,False,,
Runde9,12.75,3,False,,
Runde10,27.0,0,False,,
Runde11,28.25,4,False,,
Runde12,32.0,0,False,,
Runde13,32.0,6,False,Amalea: positive,Amalea: 10.0
Runde14,38.75,9,False,,
Runde15,48.5,9,False,Amalea: positive,Amalea: 10.0
Runde16,53.75,0,False,Amalea: positive,Amalea: 10.0
Runde17,60.75,5,False,Amalea: positive,Amalea: 10.0
Runde18,63.0,3,False,,
Runde19,62.0,10,False,,
Runde20,60.0,11,False,,
Runde21,57.5,10,False,,
Runde22,56.5,4,False,,
Runde23,62.5,12,False,,
Runde24,71.25,10,False,Amalea: positive,Amalea: 10.0
Runde25,84.75,6,False,,
Runde26,,,False,,
